person_id,tracking_trail_points,start_point,end_point
103,"[(65.08030700683594, 186.6631317138672), (64.92113494873047, 187.3198699951172), (64.12964630126953, 188.4254608154297), (63.55219650268555, 188.66140747070312), (63.422245025634766, 188.8894500732422), (63.440399169921875, 189.21502685546875), (63.368412017822266, 189.2278289794922), (63.00087356567383, 189.9332275390625), (62.02750778198242, 190.1781005859375), (61.31509017944336, 190.05825805664062), (61.00186538696289, 189.77268981933594), (61.013832092285156, 189.8577880859375), (59.96612548828125, 189.5467987060547), (59.19647216796875, 189.64950561523438), (58.07649230957031, 188.92396545410156), (56.984886169433594, 188.73126220703125), (55.420894622802734, 188.65216064453125), (52.772342681884766, 189.06741333007812), (50.259090423583984, 188.98095703125), (48.806541442871094, 189.4067840576172), (48.20531463623047, 189.10870361328125), (46.99848175048828, 188.903076171875), (46.91835403442383, 188.9700927734375), (46.76396560668945, 189.35061645507812), (47.1937255859375, 189.81072998046875), (46.81288146972656, 190.47177124023438), (46.430137634277344, 191.18099975585938), (45.740989685058594, 191.77569580078125), (45.165584564208984, 192.22442626953125), (44.95106887817383, 192.5867462158203)]","(65.08030700683594, 186.6631317138672)","(44.95106887817383, 192.5867462158203)"
104,"[(622.4061889648438, 482.64971923828125), (622.9321899414062, 482.74560546875)]","(622.4061889648438, 482.64971923828125)","(622.9321899414062, 482.74560546875)"
112,"[(754.4754638671875, 234.004638671875), (756.08154296875, 233.1409454345703), (758.9019775390625, 226.81121826171875), (761.1301879882812, 222.5203399658203), (762.0703125, 218.703857421875), (763.3389892578125, 216.57131958007812), (765.010009765625, 214.6519012451172), (766.7679443359375, 209.49026489257812), (767.3583984375, 207.54464721679688), (767.224853515625, 206.36380004882812), (766.5413818359375, 205.38784790039062), (765.9521484375, 204.65451049804688), (766.7470703125, 204.06698608398438), (767.859619140625, 202.12820434570312), (768.104248046875, 201.62109375), (768.12548828125, 200.47415161132812), (769.119873046875, 199.1837615966797), (769.7311401367188, 195.5002899169922), (770.08935546875, 192.509521484375), (770.322021484375, 189.6126708984375), (770.1992797851562, 186.09242248535156), (770.0350341796875, 181.4481658935547), (770.2608032226562, 178.27450561523438), (772.4708862304688, 175.6687774658203), (773.54052734375, 173.70965576171875), (773.4367065429688, 172.6778106689453), (773.2694702148438, 171.98715209960938), (774.572509765625, 170.9174346923828), (775.029296875, 170.91140747070312), (775.435546875, 170.4473876953125)]","(754.4754638671875, 234.004638671875)","(775.435546875, 170.4473876953125)"
114,"[(875.6143188476562, 65.64764404296875), (876.1641845703125, 65.32734680175781), (879.0169677734375, 63.54301834106445), (883.4524536132812, 61.991058349609375), (886.952880859375, 61.7448616027832), (890.5775756835938, 62.12009048461914), (893.20751953125, 62.67506408691406), (896.061279296875, 61.41896057128906), (898.47412109375, 61.40327072143555), (901.166259765625, 61.08112335205078), (905.202392578125, 61.00033187866211), (908.387939453125, 61.10622024536133), (910.5472412109375, 60.44464111328125), (912.862060546875, 59.81114959716797), (914.2820434570312, 58.53622817993164), (915.6289672851562, 59.53601837158203), (917.5160522460938, 58.93148422241211), (921.9195556640625, 57.033447265625), (927.0638427734375, 55.17441940307617), (930.455810546875, 54.51948547363281), (932.8126220703125, 54.558895111083984), (934.712158203125, 55.00831985473633), (940.43701171875, 55.989925384521484), (942.7587890625, 56.17293167114258), (944.0921630859375, 55.99494934082031), (944.9671630859375, 56.38179016113281), (945.1553955078125, 55.97007751464844), (950.5479736328125, 56.42136001586914), (955.064453125, 56.11671447753906), (959.5616455078125, 55.474910736083984)]","(875.6143188476562, 65.64764404296875)","(959.5616455078125, 55.474910736083984)"
124,"[(447.1708984375, 538.474365234375), (445.4425964355469, 542.4312133789062), (448.08172607421875, 544.54052734375), (448.0633544921875, 545.1861572265625), (444.6073303222656, 542.4903564453125), (442.6552734375, 544.7880859375), (439.8724365234375, 550.6544189453125), (438.2289123535156, 553.7379150390625), (437.91082763671875, 554.0057373046875), (437.7918395996094, 553.4901123046875), (433.88671875, 556.3136596679688), (435.21185302734375, 556.3594970703125), (435.060546875, 556.259521484375), (434.4571838378906, 556.61328125), (433.51727294921875, 556.6879272460938), (433.31341552734375, 556.9224853515625), (431.86065673828125, 557.7388305664062), (432.9106140136719, 557.7526245117188), (433.39923095703125, 557.749267578125), (432.97503662109375, 557.8407592773438), (432.969482421875, 557.726318359375), (436.16656494140625, 557.2348022460938), (436.62640380859375, 557.2515258789062), (435.68096923828125, 556.6181640625), (433.9018249511719, 555.8622436523438), (432.9453430175781, 555.9705810546875), (437.67291259765625, 552.2037353515625), (439.2826232910156, 551.34130859375), (438.76995849609375, 550.8585815429688), (439.8553466796875, 549.1478881835938)]","(447.1708984375, 538.474365234375)","(439.8553466796875, 549.1478881835938)"
125,"[(1728.0673828125, 774.5647583007812), (1731.5662841796875, 776.297119140625), (1735.0615234375, 777.006591796875)]","(1728.0673828125, 774.5647583007812)","(1735.0615234375, 777.006591796875)"
137,"[(1788.71142578125, 872.5675048828125), (1791.697998046875, 878.6265869140625), (1795.035888671875, 886.4653930664062), (1799.2744140625, 897.9747314453125), (1802.1490478515625, 905.3240356445312), (1805.2855224609375, 911.3257446289062), (1808.9560546875, 916.012939453125), (1812.0279541015625, 920.8701171875), (1817.696533203125, 924.750732421875)]","(1788.71142578125, 872.5675048828125)","(1817.696533203125, 924.750732421875)"
142,"[(98.9666519165039, 1013.5048217773438), (97.62481689453125, 1017.9967651367188), (95.14923095703125, 1021.0031127929688), (94.422119140625, 1026.8553466796875), (95.77332305908203, 1030.730712890625), (93.45712280273438, 1032.4647216796875)]","(98.9666519165039, 1013.5048217773438)","(93.45712280273438, 1032.4647216796875)"
150,"[(181.16253662109375, 281.916015625), (179.6829833984375, 284.7087097167969), (178.47299194335938, 289.6606750488281), (178.2734375, 292.3094787597656), (178.1465606689453, 295.2070617675781), (177.7313232421875, 297.7939453125), (176.95050048828125, 300.444091796875), (176.09732055664062, 301.9632568359375), (175.27923583984375, 302.60711669921875), (174.88259887695312, 302.7959289550781), (174.94027709960938, 302.92816162109375), (174.45755004882812, 303.0466613769531), (173.62896728515625, 304.4777526855469), (172.9333038330078, 304.7884521484375), (172.6350555419922, 304.2651062011719), (172.29861450195312, 304.92218017578125), (171.78073120117188, 306.75628662109375), (170.59996032714844, 311.3247375488281), (169.82479858398438, 313.95184326171875), (169.57254028320312, 315.4619445800781), (169.08151245117188, 317.1842346191406), (168.42544555664062, 319.63946533203125), (166.53579711914062, 323.3822937011719), (164.98678588867188, 325.98541259765625), (162.94952392578125, 326.1220703125), (161.7252655029297, 327.2998352050781), (160.04481506347656, 328.17620849609375), (158.787109375, 329.11956787109375), (157.29408264160156, 329.146484375), (156.31527709960938, 329.61328125)]","(181.16253662109375, 281.916015625)","(156.31527709960938, 329.61328125)"
169,"[(1891.2652587890625, 256.0495910644531), (1891.6954345703125, 255.57785034179688), (1892.60009765625, 254.88905334472656), (1893.012939453125, 253.48599243164062), (1893.2491455078125, 254.5169677734375), (1893.68505859375, 253.12075805664062), (1894.180908203125, 256.2322692871094), (1894.437744140625, 259.1168212890625), (1896.5531005859375, 255.2238311767578), (1897.26708984375, 256.4731750488281), (1897.6629638671875, 262.3569030761719), (1897.732421875, 266.23681640625), (1897.96435546875, 268.0297546386719), (1896.777099609375, 270.59381103515625), (1896.8155517578125, 272.9953308105469), (1897.8839111328125, 275.6395263671875), (1898.47802734375, 273.3553466796875), (1899.15576171875, 276.1213073730469), (1900.5394287109375, 281.3257751464844), (1904.6839599609375, 288.0445556640625), (1903.484619140625, 285.82598876953125), (1903.0682373046875, 286.5984191894531), (1901.85791015625, 281.2994384765625), (1904.721435546875, 288.0707702636719), (1905.5850830078125, 291.0872497558594), (1905.688232421875, 292.0200500488281), (1905.88720703125, 293.20135498046875), (1904.31689453125, 294.61151123046875), (1903.9085693359375, 286.6482238769531), (1903.555419921875, 296.452392578125)]","(1891.2652587890625, 256.0495910644531)","(1903.555419921875, 296.452392578125)"
178,"[(222.24288940429688, 982.264404296875), (228.35520935058594, 987.12060546875), (228.38954162597656, 991.83935546875), (229.84132385253906, 994.5333251953125), (230.62474060058594, 996.2130126953125), (230.8929443359375, 997.3145751953125), (234.61614990234375, 998.5991821289062), (243.68951416015625, 1000.7775268554688), (248.45147705078125, 1003.3394775390625), (250.36099243164062, 1006.0584716796875), (251.08799743652344, 1009.411865234375), (249.10643005371094, 1012.4638671875), (254.7076416015625, 1016.426513671875), (259.1505126953125, 1018.7457275390625), (265.6968688964844, 1021.30712890625), (269.46331787109375, 1023.3176879882812), (274.90899658203125, 1024.481689453125), (275.193115234375, 1027.500244140625), (273.4888610839844, 1030.4251708984375), (271.86505126953125, 1033.4610595703125), (273.113525390625, 1035.70849609375), (275.009521484375, 1039.270263671875), (290.4998474121094, 1045.8515625), (296.681640625, 1050.9014892578125), (297.5417785644531, 1055.9041748046875), (292.46044921875, 1059.64111328125), (289.617919921875, 1063.3780517578125), (289.0386047363281, 1067.21240234375), (290.16241455078125, 1069.824951171875), (293.0899963378906, 1071.98583984375)]","(222.24288940429688, 982.264404296875)","(293.0899963378906, 1071.98583984375)"
179,"[(1022.6658935546875, 196.70565795898438), (1022.7073364257812, 198.05409240722656), (1021.9100341796875, 199.42311096191406), (1021.302734375, 200.02960205078125), (1021.4729614257812, 200.29971313476562), (1021.8334350585938, 200.94166564941406), (1021.6025390625, 201.28851318359375), (1022.6575927734375, 201.04119873046875), (1023.18798828125, 202.3616485595703), (1023.4725341796875, 204.19552612304688), (1024.22900390625, 206.701171875), (1024.495361328125, 208.65377807617188), (1025.4127197265625, 213.8311767578125), (1025.717529296875, 216.13941955566406), (1026.72509765625, 217.20242309570312), (1027.735595703125, 217.42306518554688), (1027.765625, 216.71560668945312), (1027.6025390625, 215.74420166015625), (1027.7764892578125, 215.11041259765625), (1028.593017578125, 215.6546173095703), (1028.74658203125, 217.4994354248047), (1029.249267578125, 220.68276977539062), (1028.898193359375, 224.5742950439453), (1029.230712890625, 227.4400634765625), (1029.9080810546875, 229.3628692626953), (1030.2081298828125, 230.060546875), (1030.702880859375, 230.64852905273438), (1031.62451171875, 232.0879364013672), (1032.372802734375, 232.9020538330078), (1033.043212890625, 233.56048583984375)]","(1022.6658935546875, 196.70565795898438)","(1033.043212890625, 233.56048583984375)"
188,"[(963.5365600585938, 194.92758178710938), (964.156005859375, 197.45315551757812), (966.099853515625, 200.052978515625), (967.52001953125, 200.95547485351562), (968.1541137695312, 201.1499481201172), (968.4848022460938, 201.7566680908203), (968.224609375, 202.46115112304688), (966.380615234375, 202.41043090820312), (965.428466796875, 204.02774047851562), (964.3765869140625, 205.84762573242188), (963.8485717773438, 208.2445068359375), (963.441650390625, 209.82275390625), (963.6813354492188, 212.03594970703125), (963.623291015625, 214.1356964111328), (964.3216552734375, 216.47723388671875), (964.5272216796875, 217.75271606445312), (964.3650512695312, 218.03009033203125), (964.2489013671875, 218.00357055664062), (964.3702392578125, 218.48976135253906), (965.1248779296875, 218.8686065673828), (966.5230712890625, 219.15078735351562), (968.1605224609375, 219.7397918701172), (970.542724609375, 221.29373168945312), (972.5196533203125, 224.17929077148438), (973.8179931640625, 226.48068237304688), (974.4210205078125, 226.99478149414062), (974.958740234375, 229.3120574951172), (976.1896362304688, 232.68063354492188), (977.60302734375, 235.53280639648438), (979.2021484375, 236.8258056640625)]","(963.5365600585938, 194.92758178710938)","(979.2021484375, 236.8258056640625)"
189,"[(787.0733642578125, 551.6017456054688), (788.1258544921875, 548.5357666015625), (788.8408203125, 546.4832153320312), (789.2154541015625, 545.695068359375), (789.7872314453125, 544.4906005859375), (789.9063720703125, 542.7527465820312), (789.6443481445312, 541.53369140625), (790.7140502929688, 537.2012939453125), (791.2424926757812, 533.616943359375), (792.25537109375, 529.2847290039062), (792.3609619140625, 523.726318359375), (791.9281005859375, 518.6619873046875), (791.0238037109375, 510.6911315917969), (790.471435546875, 506.387939453125), (790.68310546875, 503.139404296875), (790.443115234375, 500.53277587890625), (789.936767578125, 498.7896728515625), (791.0056762695312, 497.75286865234375), (791.5670166015625, 496.95135498046875), (791.751220703125, 495.95269775390625), (791.0316162109375, 493.741943359375), (791.2978515625, 491.32666015625), (792.7935791015625, 484.49481201171875), (793.4268798828125, 477.4219970703125), (793.140380859375, 472.4261474609375), (792.8076782226562, 467.5201416015625), (792.875732421875, 464.60986328125), (793.1045532226562, 461.7733154296875), (793.8475952148438, 460.4727783203125), (794.4632568359375, 459.6496276855469)]","(787.0733642578125, 551.6017456054688)","(794.4632568359375, 459.6496276855469)"
197,"[(432.5203857421875, 559.5694580078125), (433.0400695800781, 561.4827880859375), (433.21142578125, 561.6583251953125), (432.1767578125, 558.590087890625), (431.59210205078125, 555.8505859375), (431.50067138671875, 554.7044067382812), (432.72760009765625, 551.9288330078125), (432.9239807128906, 552.173095703125), (432.87957763671875, 552.1065673828125), (435.0408020019531, 550.311767578125), (437.3136901855469, 549.9444580078125), (438.1778564453125, 549.4025268554688), (438.3155517578125, 549.4825439453125), (434.43206787109375, 555.193603515625), (433.42340087890625, 555.187255859375), (435.3211364746094, 552.376953125), (435.70587158203125, 551.580810546875), (435.75726318359375, 551.7504272460938), (436.7159423828125, 549.6395263671875), (435.8250732421875, 551.4343872070312), (432.55657958984375, 555.3876953125), (434.8739929199219, 553.8946533203125), (435.19989013671875, 553.7645263671875), (435.5489196777344, 553.8677978515625), (432.16552734375, 556.9869995117188)]","(432.5203857421875, 559.5694580078125)","(432.16552734375, 556.9869995117188)"
198,"[(408.35760498046875, 563.4219360351562), (407.8792724609375, 563.36572265625), (407.40411376953125, 564.3251342773438), (407.8992919921875, 564.091064453125), (408.2103271484375, 562.7982177734375), (406.2312316894531, 560.8291625976562), (408.5274658203125, 561.16455078125), (407.16400146484375, 563.8685913085938), (406.87762451171875, 566.0501708984375), (405.8712158203125, 566.71826171875), (405.0467529296875, 567.2415161132812), (405.3480529785156, 566.7301025390625), (407.6268310546875, 566.3690185546875), (409.1314697265625, 564.3363037109375), (410.7999267578125, 563.6939697265625), (410.1686096191406, 557.2545166015625), (410.19873046875, 557.5093994140625), (408.93682861328125, 558.2623291015625), (408.73876953125, 558.9510498046875), (408.2799072265625, 558.332763671875), (408.5014953613281, 558.84912109375), (408.57958984375, 560.5938720703125), (408.63885498046875, 561.8165283203125), (408.5240783691406, 562.3358764648438), (408.781005859375, 561.944580078125), (408.88665771484375, 561.817138671875)]","(408.35760498046875, 563.4219360351562)","(408.88665771484375, 561.817138671875)"
212,"[(452.70166015625, 537.60400390625), (451.0401611328125, 537.9593505859375), (449.19873046875, 538.0693359375), (458.61163330078125, 538.1830444335938), (463.18304443359375, 538.640625), (467.7522277832031, 539.5551147460938), (467.4802551269531, 539.4236450195312)]","(452.70166015625, 537.60400390625)","(467.4802551269531, 539.4236450195312)"
214,"[(1706.108154296875, 22.292951583862305), (1709.537109375, 21.577856063842773), (1714.43212890625, 21.138593673706055), (1722.8345947265625, 21.2157039642334), (1729.546875, 21.816431045532227), (1734.3167724609375, 22.625009536743164), (1736.776611328125, 23.018199920654297), (1740.4578857421875, 22.443506240844727), (1751.0947265625, 21.83439064025879), (1753.880126953125, 21.506656646728516), (1755.61376953125, 20.90535545349121), (1756.0302734375, 20.52747344970703), (1758.559814453125, 20.789974212646484), (1761.109375, 20.473766326904297), (1763.221923828125, 20.428394317626953), (1766.130126953125, 20.127805709838867), (1769.7950439453125, 19.9753475189209), (1773.3704833984375, 19.82652473449707), (1781.774169921875, 20.40199089050293), (1786.90771484375, 20.244205474853516), (1794.010986328125, 20.06441879272461), (1795.9287109375, 19.420833587646484), (1797.372314453125, 19.39082145690918), (1802.009033203125, 19.611602783203125), (1805.1312255859375, 19.622024536132812), (1806.722900390625, 19.4643497467041), (1807.876220703125, 19.38020896911621), (1809.4466552734375, 19.13382911682129), (1812.70458984375, 18.76571273803711), (1818.088623046875, 18.262502670288086)]","(1706.108154296875, 22.292951583862305)","(1818.088623046875, 18.262502670288086)"
222,"[(25.25810432434082, 23.905521392822266), (25.024866104125977, 24.07114028930664), (24.602317810058594, 23.609201431274414), (27.437152862548828, 23.260942459106445), (30.83903694152832, 23.39460563659668), (33.77656555175781, 22.925247192382812), (36.03101348876953, 22.845197677612305), (42.047584533691406, 22.9501895904541), (52.158897399902344, 22.48824119567871), (58.11344909667969, 22.768962860107422), (61.710853576660156, 22.92897605895996), (63.96773910522461, 23.310176849365234), (66.12639617919922, 23.666561126708984), (68.07705688476562, 23.592145919799805), (70.471435546875, 22.8987979888916), (72.63587951660156, 22.459264755249023), (75.34947967529297, 22.096132278442383), (78.62982177734375, 21.651002883911133), (82.38188934326172, 21.92512321472168), (88.86508178710938, 21.65308952331543), (94.47566223144531, 21.215709686279297)]","(25.25810432434082, 23.905521392822266)","(94.47566223144531, 21.215709686279297)"
232,"[(464.88995361328125, 538.7242431640625), (465.59735107421875, 537.4678344726562), (465.78472900390625, 537.3973388671875), (465.8091125488281, 538.5244140625), (465.485595703125, 537.7837524414062), (466.5081787109375, 537.769775390625), (466.42889404296875, 537.7516479492188)]","(464.88995361328125, 538.7242431640625)","(466.42889404296875, 537.7516479492188)"
239,"[(1896.551025390625, 230.1082305908203), (1895.334228515625, 230.53941345214844), (1894.743896484375, 238.00535583496094), (1895.590087890625, 237.9062042236328), (1897.0926513671875, 240.89013671875), (1897.4520263671875, 240.73068237304688), (1900.328369140625, 250.70855712890625)]","(1896.551025390625, 230.1082305908203)","(1900.328369140625, 250.70855712890625)"
241,"[(113.05941772460938, 20.472557067871094), (114.15296173095703, 20.26904296875), (117.32522583007812, 20.369279861450195), (119.6094970703125, 19.14719581604004), (128.60536193847656, 18.30289649963379), (135.59681701660156, 18.557090759277344), (138.8319091796875, 17.978866577148438), (140.4520263671875, 17.85335350036621), (144.15957641601562, 17.917213439941406)]","(113.05941772460938, 20.472557067871094)","(144.15957641601562, 17.917213439941406)"
243,"[(481.34228515625, 549.1416015625), (481.5606689453125, 548.3351440429688), (481.13641357421875, 547.8699951171875), (481.04901123046875, 547.5614624023438), (481.4162902832031, 547.4677124023438), (481.4013671875, 547.484375), (481.71856689453125, 547.3594970703125), (482.1021728515625, 547.033935546875), (481.96795654296875, 547.104736328125), (482.0667419433594, 546.6375732421875), (482.0931396484375, 546.0321044921875), (481.72723388671875, 545.60498046875), (482.485595703125, 544.2740478515625), (483.0849304199219, 544.1903076171875), (482.4942626953125, 543.703125), (482.3453063964844, 543.1838989257812), (482.35833740234375, 542.7536010742188), (482.55328369140625, 542.4639892578125), (482.3173828125, 542.1285400390625), (482.7284851074219, 542.406494140625), (482.82281494140625, 542.1890869140625), (482.869873046875, 541.575439453125), (483.31439208984375, 541.6707763671875), (483.80419921875, 541.5197143554688), (484.065185546875, 540.937255859375), (483.8573303222656, 540.9293212890625), (483.8876953125, 540.9105834960938), (483.8779296875, 540.6981811523438), (483.8341064453125, 540.7037353515625), (483.82611083984375, 540.7587280273438)]","(481.34228515625, 549.1416015625)","(483.82611083984375, 540.7587280273438)"
247,"[(1200.5006103515625, 871.1534423828125), (1189.72216796875, 869.763427734375), (1193.66943359375, 866.1463623046875), (1176.9149169921875, 862.419677734375), (1175.327392578125, 858.982421875), (1173.8487548828125, 854.3909912109375), (1171.1190185546875, 849.0291137695312), (1162.85302734375, 838.0791015625), (1155.3436279296875, 828.9140625), (1149.4942626953125, 822.6036376953125), (1143.447998046875, 819.575927734375), (1139.1597900390625, 817.7259521484375), (1133.79638671875, 815.2852783203125), (1128.332763671875, 814.0992431640625), (1125.70361328125, 812.185302734375), (1123.385009765625, 810.64990234375), (1120.16162109375, 808.6180419921875), (1115.505126953125, 802.6646728515625), (1112.2227783203125, 798.9573974609375), (1111.65673828125, 793.8831787109375), (1109.9678955078125, 785.93359375), (1107.625, 777.9520874023438), (1106.2978515625, 766.9683837890625), (1105.81591796875, 761.5723266601562), (1111.7373046875, 768.762451171875), (1110.9013671875, 764.9801635742188), (1105.0347900390625, 754.7498779296875), (1104.113525390625, 750.9193115234375), (1090.2257080078125, 734.0070190429688), (1085.2840576171875, 727.009521484375)]","(1200.5006103515625, 871.1534423828125)","(1085.2840576171875, 727.009521484375)"
253,"[(1874.97900390625, 175.45578002929688), (1875.4150390625, 176.50131225585938), (1875.532958984375, 175.81460571289062), (1874.79736328125, 175.7029266357422), (1873.525146484375, 176.2797393798828), (1871.234619140625, 176.3690948486328)]","(1874.97900390625, 175.45578002929688)","(1871.234619140625, 176.3690948486328)"
258,"[(21.682918548583984, 392.80511474609375), (22.266071319580078, 395.81048583984375), (22.244287490844727, 402.9693603515625), (21.99180030822754, 406.646728515625), (22.294418334960938, 409.0726318359375), (22.34564971923828, 411.0641174316406), (22.203296661376953, 413.13311767578125), (22.26797103881836, 416.13140869140625), (22.220125198364258, 418.4227600097656), (22.386213302612305, 419.033447265625), (23.484399795532227, 417.94940185546875), (24.301023483276367, 416.54888916015625), (26.763887405395508, 414.5030517578125), (28.707067489624023, 414.8443603515625), (31.350948333740234, 416.7230224609375), (33.49102020263672, 417.7340087890625), (34.38201141357422, 418.4664306640625), (35.27545928955078, 420.94891357421875), (35.494239807128906, 424.50872802734375), (35.36336898803711, 427.0948486328125), (35.53899383544922, 431.85943603515625), (35.544742584228516, 429.708251953125), (36.6437873840332, 428.37286376953125), (37.60224533081055, 427.8729248046875), (38.24443817138672, 427.81610107421875), (38.31504821777344, 431.18145751953125), (37.862205505371094, 435.4255065917969), (38.1988410949707, 440.83367919921875), (39.13628005981445, 445.3368225097656), (39.847572326660156, 447.7720031738281)]","(21.682918548583984, 392.80511474609375)","(39.847572326660156, 447.7720031738281)"
264,"[(1576.599609375, 795.8778686523438), (1576.82958984375, 788.3381958007812), (1577.662841796875, 780.6658935546875), (1578.479248046875, 777.326904296875), (1579.269775390625, 775.3958129882812), (1581.102783203125, 774.0582885742188), (1582.18359375, 772.46826171875), (1583.88916015625, 766.9358520507812), (1585.26708984375, 763.9051513671875), (1586.9501953125, 759.0242919921875), (1586.75146484375, 752.819091796875), (1583.6312255859375, 746.56787109375), (1585.431396484375, 732.670654296875), (1586.851318359375, 724.570068359375), (1589.285400390625, 720.9442138671875), (1591.3541259765625, 718.9637451171875), (1592.942138671875, 716.9354248046875), (1594.64501953125, 712.45556640625), (1595.8775634765625, 710.4989624023438), (1596.414306640625, 707.7393798828125), (1596.9345703125, 704.5665283203125), (1597.392333984375, 700.3646240234375), (1598.0478515625, 689.71923828125), (1598.3106689453125, 680.2978515625), (1598.7391357421875, 672.471435546875), (1598.4619140625, 666.69091796875), (1598.6630859375, 662.9927978515625), (1599.678955078125, 660.3580322265625), (1601.047119140625, 659.18505859375), (1602.4434814453125, 657.8372802734375)]","(1576.599609375, 795.8778686523438)","(1602.4434814453125, 657.8372802734375)"
270,"[(1662.008056640625, 120.0937728881836), (1659.6802978515625, 118.78083801269531), (1653.910400390625, 117.76106262207031), (1651.769287109375, 116.67381286621094), (1650.156494140625, 115.08488464355469), (1648.28515625, 112.9523696899414), (1645.96142578125, 110.6951675415039), (1643.51904296875, 107.20986938476562), (1641.871826171875, 105.29600524902344), (1639.5224609375, 103.9625015258789), (1635.0673828125, 103.09869384765625), (1631.791015625, 102.51789093017578), (1620.379638671875, 101.13569641113281), (1614.5791015625, 99.84719848632812), (1611.2236328125, 99.41869354248047), (1609.322265625, 98.5433578491211), (1608.841064453125, 97.91770935058594), (1607.10986328125, 95.56387329101562), (1605.632568359375, 93.74603271484375), (1605.081787109375, 91.87881469726562), (1603.5986328125, 89.33280944824219), (1602.2607421875, 87.60298156738281), (1598.969482421875, 85.78914642333984), (1596.16796875, 84.88980102539062), (1592.80615234375, 84.481689453125), (1588.8203125, 84.55128479003906), (1585.157958984375, 84.71148681640625), (1580.55859375, 84.53241729736328), (1576.1826171875, 84.58090209960938), (1573.52734375, 84.21895599365234)]","(1662.008056640625, 120.0937728881836)","(1573.52734375, 84.21895599365234)"
278,"[(1832.2623291015625, 75.09809112548828), (1830.712158203125, 73.09644317626953), (1827.05517578125, 71.34113311767578), (1825.453125, 70.38334655761719), (1823.3271484375, 69.35285186767578), (1820.865966796875, 67.93287658691406), (1819.238037109375, 66.60751342773438), (1815.08203125, 64.50038146972656), (1813.125244140625, 63.502140045166016), (1811.376220703125, 61.767120361328125), (1810.05712890625, 61.19597244262695), (1809.76220703125, 61.182334899902344), (1809.52978515625, 59.850242614746094), (1808.812744140625, 58.272064208984375), (1808.441650390625, 57.29472732543945), (1808.260986328125, 56.35918426513672), (1807.6014404296875, 55.35271453857422), (1805.6669921875, 54.88117599487305), (1805.0830078125, 54.92837905883789), (1802.684326171875, 54.765377044677734), (1800.042724609375, 54.39407730102539), (1798.1357421875, 54.32604217529297), (1794.94921875, 54.4467658996582), (1792.9732666015625, 53.46584701538086), (1790.911376953125, 52.69435119628906), (1789.748046875, 52.20940017700195), (1788.5263671875, 51.54079055786133), (1787.47802734375, 50.5391731262207), (1785.728759765625, 49.00611877441406), (1785.71240234375, 47.79623031616211)]","(1832.2623291015625, 75.09809112548828)","(1785.71240234375, 47.79623031616211)"
279,"[(444.09356689453125, 547.6175537109375), (442.2965087890625, 545.5328369140625), (438.2923889160156, 547.753173828125), (436.22076416015625, 548.51123046875), (438.185546875, 544.0698852539062)]","(444.09356689453125, 547.6175537109375)","(438.185546875, 544.0698852539062)"
300,"[(1231.262939453125, 36.695125579833984), (1231.1220703125, 36.65734100341797), (1231.012939453125, 36.66971969604492), (1231.290771484375, 36.77593231201172), (1231.4765625, 36.774864196777344), (1231.4853515625, 36.76930618286133), (1231.520263671875, 36.7000846862793), (1231.5958251953125, 36.465179443359375), (1231.666748046875, 36.711978912353516), (1231.66259765625, 36.722312927246094), (1231.60546875, 36.700660705566406), (1231.7281494140625, 36.54975509643555), (1232.03076171875, 36.337982177734375), (1231.95166015625, 36.05927276611328), (1232.22412109375, 35.77578353881836), (1232.58203125, 35.572288513183594), (1232.697998046875, 35.45317077636719), (1232.6201171875, 35.291873931884766), (1232.677001953125, 35.261226654052734), (1232.753662109375, 35.303504943847656), (1232.70166015625, 35.09288787841797), (1232.6611328125, 34.97936248779297), (1232.5545654296875, 34.93244171142578), (1232.645263671875, 35.02396774291992), (1232.677001953125, 35.01914978027344), (1232.576416015625, 35.02324295043945), (1232.579345703125, 35.05109405517578), (1232.679443359375, 34.96570587158203), (1232.66162109375, 34.979915618896484), (1232.663330078125, 35.00627517700195)]","(1231.262939453125, 36.695125579833984)","(1232.663330078125, 35.00627517700195)"
314,"[(1866.554931640625, 148.28538513183594), (1865.8974609375, 145.05702209472656), (1865.09765625, 141.61956787109375), (1864.96533203125, 141.37457275390625), (1864.722900390625, 141.5083465576172), (1863.769287109375, 140.317626953125), (1863.221435546875, 139.69491577148438), (1861.855712890625, 138.24212646484375), (1862.02734375, 135.51084899902344), (1861.2467041015625, 132.6135711669922), (1860.08251953125, 126.26748657226562), (1859.7979736328125, 121.68555450439453), (1857.5166015625, 120.69847869873047), (1846.433837890625, 106.85684967041016), (1843.8929443359375, 104.98440551757812), (1842.451171875, 103.10057830810547), (1841.04345703125, 101.98452758789062), (1840.2813720703125, 101.02651977539062), (1840.625244140625, 91.75395202636719), (1840.16015625, 86.79936218261719), (1840.51220703125, 82.82948303222656), (1840.5926513671875, 78.98501586914062), (1840.679443359375, 74.37405395507812), (1839.6812744140625, 71.18647003173828), (1839.582275390625, 68.96138000488281), (1839.1766357421875, 69.3033447265625), (1838.587158203125, 68.22540283203125), (1835.557373046875, 60.69496536254883), (1835.899169921875, 59.00468826293945), (1833.7509765625, 61.53462219238281)]","(1866.554931640625, 148.28538513183594)","(1833.7509765625, 61.53462219238281)"
